appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
577800,NBA 2K18,Visual Concepts,2K,,5480,13391,0,"1,000,000 .. 2,000,000",0,0,0,0,0.0,0.0,0,149
31280,Poker Night at the Inventory,Telltale Games,Strategy First,,8150,958,0,"1,000,000 .. 2,000,000",0,0,0,0,0.0,0.0,0,11
996470,eFootball  PES 2020,Konami Digital Entertainment,Konami Digital Entertainment,,18642,7632,0,"1,000,000 .. 2,000,000",0,0,0,0,0.0,0.0,0,390
244930,SNOW - The Ultimate Edition,"Poppermost Productions, WastedStudios, Crytek",Crytek,,7819,4220,0,"1,000,000 .. 2,000,000",0,0,0,0,14.99,14.99,0,1
805550,Assetto Corsa Competizione,Kunos Simulazioni,505 Games,,27011,2392,0,"1,000,000 .. 2,000,000",0,0,0,0,39.99,39.99,0,4231
1301210,Knockout City,Velan Studios,Velan Studios,,7103,1232,0,"1,000,000 .. 2,000,000",0,0,0,0,0.0,0.0,0,2
1259970,eFootball PES 2021 SEASON UPDATE,Konami Digital Entertainment,Konami Digital Entertainment,,28678,8683,0,"1,000,000 .. 2,000,000",0,0,0,0,0.0,0.0,0,2055
1919590,NBA 2K23,Visual Concepts,2K,,29263,17594,0,"1,000,000 .. 2,000,000",0,0,0,0,59.99,59.99,0,13941
667530,Drunken Wrestlers 2,Oleg Skutte,Gamegrustudio,,11458,1505,0,"1,000,000 .. 2,000,000",0,0,0,0,0.0,0.0,0,326
236690,Blood Bowl 2,Cyanide Studios,Nacon,,6698,1832,0,"1,000,000 .. 2,000,000",0,0,0,0,19.99,19.99,0,322
234710,Poker Night 2,Telltale Games,Telltale Games,,6121,886,0,"1,000,000 .. 2,000,000",0,0,0,0,0.0,0.0,0,23
1134570,F1 2021,Codemasters,Electronic Arts,,30145,5064,0,"1,000,000 .. 2,000,000",0,0,0,0,0.0,0.0,0,290
1080110,F1 2020,Codemasters,"Codemasters, Electronic Arts",,37490,2569,0,"1,000,000 .. 2,000,000",0,0,0,0,0.0,0.0,0,276
331360,Heavy Metal Machines,Hoplon,Forthright Entertainment,,2971,993,0,"1,000,000 .. 2,000,000",0,0,0,0,0.0,0.0,0,2
571740,Golf It!,Perfuse Entertainment,Perfuse Entertainment,,23513,2464,0,"1,000,000 .. 2,000,000",0,0,0,0,8.99,8.99,0,1577
670290,Real Pool 3D - Poolians,Poolians.com,ThankGame.com,,8407,2342,0,"500,000 .. 1,000,000",0,0,0,0,0.0,0.0,0,2298
421020,DiRT 4,"Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux), Electronic Arts",,12666,3150,0,"500,000 .. 1,000,000",0,0,0,0,0.0,0.0,0,112
412880,Drift Streets Japan,JDM4iK Games,SA Industry,,2227,1244,0,"500,000 .. 1,000,000",0,0,0,0,4.99,4.99,0,3
960170,DJMAX RESPECT V,NEOWIZ,NEOWIZ,,21252,2864,0,"500,000 .. 1,000,000",0,0,0,0,49.99,49.99,0,1530
359800,Copa Petrobras de Marcas,Reiza Studios,Reiza Studios,,1696,894,0,"500,000 .. 1,000,000",0,0,0,0,0.0,0.0,0,19
962730,Skater XL - The Ultimate Skateboarding Game,Easy Day Studios Pty Ltd,Easy Day Studios Pty Ltd,,16135,2602,0,"500,000 .. 1,000,000",0,0,0,0,31.99,39.99,20,238
485610,Soccer Online: Ball 3D,Unusualsoft,Unusualsoft,,7924,1503,0,"500,000 .. 1,000,000",0,0,0,0,0.99,0.99,0,69
212480,Sonic & All-Stars Racing Transformed Collection,Sumo Digital,SEGA,,14992,971,0,"500,000 .. 1,000,000",0,0,0,0,19.99,19.99,0,57
792220,Paunch,Kozhakov,Kozhakov,,9514,1104,0,"500,000 .. 1,000,000",0,0,0,0,0.0,0.0,0,21
1451190,Undisputed,Steel City Interactive,Steel City Interactive,,8083,2818,0,"500,000 .. 1,000,000",0,0,0,0,29.99,29.99,0,500
891040,Pool 2D - Poolians,Poolians.com,ThankGame.com,,6374,905,0,"500,000 .. 1,000,000",0,0,0,0,0.0,0.0,0,617
255220,GRID Autosport,"Codemasters Racing, Feral Interactive (Mac), Feral Interactive (Linux)","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)",,6686,1899,0,"500,000 .. 1,000,000",0,0,0,0,0.0,0.0,0,34
655500,MX Bikes,PiBoSo,PiBoSo,,15264,1021,0,"500,000 .. 1,000,000",0,0,0,0,34.99,34.99,0,1747
798420,Professional Fishing,MasterCode,Ultimate Games S.A.,,2672,811,0,"500,000 .. 1,000,000",0,0,0,0,0.0,0.0,0,193
1692250,F1 22,Codemasters,Electronic Arts,,17272,7930,0,"500,000 .. 1,000,000",0,0,0,0,59.99,59.99,0,905
296470,Mount Your Friends,Stegersaurus Software Inc.,Stegersaurus Software Inc.,,7341,361,0,"500,000 .. 1,000,000",0,0,0,0,1.74,4.99,65,14
1097430,Book of Yog Idle RPG,元气工作室,元气工作室,,3937,1900,0,"500,000 .. 1,000,000",0,0,0,0,0.0,0.0,0,782
468240,VR Regatta - The Sailing Game,MarineVerse,MarineVerse,,143,23,0,"500,000 .. 1,000,000",0,0,0,0,14.99,29.99,50,0
468920,Ultimate Fishing Simulator,"Bit Golem, Pancake Games, 3T Labs",Ultimate Games S.A.,,6189,695,0,"500,000 .. 1,000,000",0,0,0,0,19.99,19.99,0,54
252850,Streamline,Proletariat Inc.,Proletariat Inc.,,1438,585,0,"500,000 .. 1,000,000",0,0,0,0,0.0,0.0,0,1
232910,TrackMania² Stadium,Nadeo,Ubisoft,,5702,713,0,"500,000 .. 1,000,000",0,0,0,0,9.99,9.99,0,97
94400,Nidhogg,Messhof,Messhof,,6697,781,0,"500,000 .. 1,000,000",0,0,0,0,9.99,9.99,0,11
806140,Achievements printer,Easy game,Game for people,,967,206,0,"500,000 .. 1,000,000",0,0,0,0,0.99,0.99,0,1
1292630,3on3 FreeStyle: Rebound,Joycity,Joycity,,1774,1001,0,"500,000 .. 1,000,000",0,0,0,0,0.0,0.0,0,194
385760,NBA 2K17,Visual Concepts,2K,,4720,4108,0,"500,000 .. 1,000,000",0,0,0,0,0.0,0.0,0,105
950100,PRO EVOLUTION SOCCER 2019 LITE,Konami Digital Entertainment,Konami Digital Entertainment,,1586,999,0,"500,000 .. 1,000,000",0,0,0,0,0.0,0.0,0,2
1448530,Soccer Manager 2021,Invincibles Studio Ltd,Invincibles Studio Ltd,,1501,532,0,"500,000 .. 1,000,000",0,0,0,0,0.0,0.0,0,68
1173370,Slapshot: Rebound,Oddshot Games,Oddshot Games,,7150,1343,0,"500,000 .. 1,000,000",0,0,0,0,0.0,0.0,0,456
861650,Session: Skate Sim,crea-ture Studios Inc.,Nacon,,9590,1666,0,"500,000 .. 1,000,000",0,0,0,0,39.99,39.99,0,277
1644960,NBA 2K22,Visual Concepts,2K,,22423,16106,0,"500,000 .. 1,000,000",0,0,0,0,59.99,59.99,0,3067
928600,F1 2019,Codemasters,"Codemasters, Electronic Arts",,19965,2263,0,"500,000 .. 1,000,000",0,0,0,0,0.0,0.0,0,96
2108330,F1 23,Codemasters,Electronic Arts,,10159,1565,0,"500,000 .. 1,000,000",0,0,0,0,69.99,69.99,0,4875
681280,Descenders,RageSquid,No More Robots,,14579,890,0,"500,000 .. 1,000,000",0,0,0,0,24.99,24.99,0,145
370240,NBA 2K16,Visual Concepts,2K,,3813,3561,0,"500,000 .. 1,000,000",0,0,0,0,0.0,0.0,0,42
1259980,RIDE 4,Milestone S.r.l.,Milestone S.r.l.,,8010,1803,0,"500,000 .. 1,000,000",0,0,0,0,39.99,39.99,0,476
415200,Motorsport Manager,Playsport Games,SEGA,,11751,1046,0,"500,000 .. 1,000,000",0,0,0,0,19.99,19.99,0,444
261180,Lethal League,Team Reptile,Team Reptile,,5693,354,0,"500,000 .. 1,000,000",0,0,0,0,13.99,13.99,0,5
1015500,WWE 2K20,Visual Concepts,2K,,2518,3381,0,"500,000 .. 1,000,000",0,0,0,0,0.0,0.0,0,26
592600,PRO EVOLUTION SOCCER 2018 LITE,"Konami Digital Entertainment Co., Ltd",Konami Digital Entertainment,,774,762,0,"500,000 .. 1,000,000",0,0,0,0,0.0,0.0,0,1
732430,Superflight,GrizzlyGames,GrizzlyGames,,10280,371,0,"500,000 .. 1,000,000",0,0,0,0,1.49,2.99,50,27
314000,Pool Nation FX Lite,Cherry Pop Games,Cherry Pop Games,,1402,578,0,"500,000 .. 1,000,000",0,0,0,0,0.0,0.0,0,303
351030,Pixel Puzzles Ultimate Jigsaw,Pixel Puzzles,Pixel Puzzles,,1856,634,0,"500,000 .. 1,000,000",0,0,0,0,0.0,0.0,0,95
737800,F1 2018,Codemasters,"Codemasters, Electronic Arts",,11426,1416,0,"500,000 .. 1,000,000",0,0,0,0,0.0,0.0,0,197
410340,Liftoff: FPV Drone Racing,LuGus Studios,LuGus Studios,,7304,471,0,"500,000 .. 1,000,000",0,0,0,0,19.99,19.99,0,381
2195250,EA SPORTS FC 24,EA Canada &amp; EA Romania,Electronic Arts,,16239,11930,0,"500,000 .. 1,000,000",0,0,0,0,69.99,69.99,0,42787
981890,Olympic Games Tokyo 2020 – The Official Video Game,SEGA,SEGA,,1210,1369,0,"500,000 .. 1,000,000",0,0,0,0,39.99,39.99,0,7
320140,Absolute Drift,"Funselektor Labs Inc., FlippFly",Funselektor Labs Inc.,,2520,334,0,"500,000 .. 1,000,000",0,0,0,0,11.99,11.99,0,7
2290180,Riders Republic,"Ubisoft Annecy, Ubisoft Belgrade, Ubisoft Kyiv, Ubisoft Pune, Ubisoft Odesa",Ubisoft Entertainment,,8191,1563,0,"500,000 .. 1,000,000",0,0,0,0,39.99,39.99,0,1142
805850,Wrecked,Marco Amadei,Corvostudio di Amadei Marco,,1766,522,0,"500,000 .. 1,000,000",0,0,0,0,0.0,0.0,0,1
488210,JDM Tuner Racing,JDM4iK,Conglomerate 5,,197,209,0,"200,000 .. 500,000",0,0,0,0,0.99,0.99,0,5
321400,Supraball,Supra Games,Supra Games,,2499,735,0,"200,000 .. 500,000",0,0,0,0,0.0,0.0,0,3
226580,F1 2014,Codemasters,"Codemasters, Electronic Arts",,2430,450,0,"200,000 .. 500,000",0,0,0,0,0.0,0.0,0,20
1330470,F.I.S.T.: Forged In Shadow Torch,TiGames,bilibili,,4984,619,0,"200,000 .. 500,000",0,0,0,0,29.99,29.99,0,56
664430,WWE 2K18,"Visual Concepts, Yuke's Co., LTD",2K,,1159,1006,0,"200,000 .. 500,000",0,0,0,0,0.0,0.0,0,6
1071870,Biped,NEXT Studios,"NEXT Studios, META Publishing",,5861,898,0,"200,000 .. 500,000",0,0,0,0,14.99,14.99,0,199
1078730,Soccer Manager 2020,Soccer Manager Ltd,Soccer Manager Ltd,,1164,363,0,"200,000 .. 500,000",0,0,0,0,0.0,0.0,0,29
1070330,Russian Life Simulator,GosDev Production,"Abama Entertainment, GosDev Production",,6354,778,0,"200,000 .. 500,000",0,0,0,0,0.99,0.99,0,12
385730,WWE 2K16,"Visual Concepts, Yuke's Co., LTD",2K,,1818,990,0,"200,000 .. 500,000",0,0,0,0,0.0,0.0,0,8
2252570,Football Manager 2024,Sports Interactive,SEGA,,4838,702,0,"200,000 .. 500,000",0,0,0,0,59.99,59.99,0,77847
1016120,PGA TOUR 2K21,HB Studios Multimedia Ltd.,2K,,6184,1185,0,"200,000 .. 500,000",0,0,0,0,59.99,59.99,0,155
1519350,Madden NFL 22,Tiburon,Electronic Arts,,3821,3411,0,"200,000 .. 500,000",0,0,0,0,0.0,0.0,0,269
365960,rFactor 2,Studio 397,Studio 397,,5963,1522,0,"200,000 .. 500,000",0,0,0,0,29.99,29.99,0,1010
586980,MadOut2 BigCityOnline [CLOSED],MadOut Games,MadOut Games,,3380,1095,0,"200,000 .. 500,000",0,0,0,0,0.0,0.0,0,8
1372810,Teamfight Manager,Team Samoyed,Team Samoyed,,4409,689,0,"200,000 .. 500,000",0,0,0,0,9.99,9.99,0,180
375530,"Football, Tactics & Glory",Creoteam,"Creoteam, Toplitz Productions",,3290,440,0,"200,000 .. 500,000",0,0,0,0,24.99,24.99,0,113
1182020,WGT Golf,Topgolf Media,Topgolf Media,,1444,894,0,"200,000 .. 500,000",0,0,0,0,0.0,0.0,0,208
708720,Gridiron,1336 Studios,1336 Studios,,1607,413,0,"200,000 .. 500,000",0,0,0,0,0.0,0.0,0,1
673560,IOSoccer,IOSoccer Team,IOSoccer Team,,2059,449,0,"200,000 .. 500,000",0,0,0,0,0.0,0.0,0,204
649190,Blast Zone! Tournament,Victory Lap Games,Victory Lap Games,,520,380,0,"200,000 .. 500,000",0,0,0,0,9.99,9.99,0,0
1583320,Pro Soccer Online,Skywall Studios LLC,Skywall Studios LLC,,15160,1594,0,"200,000 .. 500,000",0,0,0,0,9.99,9.99,0,959
270450,Robot Roller-Derby Disco Dodgeball,Erik Asmussen,Erik Asmussen,,3581,297,0,"200,000 .. 500,000",0,0,0,0,9.99,9.99,0,0
658570,FURIDASHI: Drift Cyber Sport,Drift Physics Crew,Drift Physics Crew,,990,215,0,"200,000 .. 500,000",0,0,0,0,11.99,11.99,0,1
1340020,Aster Fpv Drone Simulator,Emmanuel Perrillon,Emmanuel Perrillon,,9,4,0,"200,000 .. 500,000",0,0,0,0,19.99,19.99,0,0
243800,Gas Guzzlers Extreme,Gamepires,Jagex Ltd,,3321,545,0,"200,000 .. 500,000",0,0,0,0,24.99,24.99,0,7
570460,Laser League,"Roll7, CE-Asia, 505 Games","CE-Asia, 505 Games",,1315,337,0,"200,000 .. 500,000",0,0,0,0,0.0,0.0,0,0
498660,Mind Spheres,Microblast Games,SA Industry,,571,166,0,"200,000 .. 500,000",0,0,0,0,4.99,4.99,0,0
